"author","undated_poem_count"
"无名氏","2252"
"不详","885"
"易静","721"
"王梵志","353"
"寒山","314"
"李中","310"
"徐铉","309"
"佚名","260"
"李峤","225"
"杜光庭","190"
"曹勋","183"
"史浩","182"
"杨无咎","177"
"李洞","172"
"花蕊夫人徐氏","158"
"程垓","157"
"葛长庚","135"
"吕渭老","134"
"郭应祥","129"
"王绩","128"
"陈著","122"
"张抡","122"
"傅翕","117"
"钱珝","116"
"徐成","110"
"张𧏖","107"
"罗虬","103"
"李建勋","102"
"无可","102"
"太宗皇帝","101"
"侯置","96"
"居遁","95"
"周贺","95"
"方千里","93"
"延寿","92"
"杨泽民","91"
"沈瀛","90"
"吕胜己","89"
"杜安世","84"
"刘言史","83"
"欧阳詹","83"
"葛胜仲","82"
"李弥逊","82"
"丘崈","81"
"崔道融","80"
"段成式","78"
"孙元晏","75"
"王千秋","73"
"仲殊","73"
"陈三聘","72"
"姚述尧2","69"
"褚亮","68"
"管鉴","68"
"杨衡","66"
"陈德武","65"
"卢炳","63"
"道世","62"
"张矩","62"
"魏征","59"
"张镃","59"
"裴夷直","58"
"顾敻","56"
"拾得","56"
"张继先","56"
"张仲素","55"
"后主煜","54"
"张果","53"
"刘希夷","52"
"王炎2","52"
"陈元光","51"
"于𣸣","51"
"鱼玄机","51"
"许敬宗","50"
"赵善括","49"
"黄人杰","48"
"则天皇后","48"
"程大昌","47"
"何梦桂","47"
"李处全","47"
"邓肃","46"
"杜审言","46"
"沈端节","45"
"赵鼎","45"
"张辑","44"
"程珌","43"
"康与之","43"
"灵一","43"
"王庭珪","43"
"毛并","42"
"孙鲂","42"
"宝志","41"
"克符道者","41"
"廖行之","41"
"林正大","41"
"韦渠牟","41"
"白云仙人","40"
"德诚","40"
"虞世南","40"
"崔湜","39"
"黄升","39"
"缺名","39"
"邵谒","39"
"吴则礼","39"
"徐彦伯","39"
"杨凝","39"
"刘学箕","38"
"向","38"
"吴泳","37"
"尚颜","36"
"唐求","36"
"张纲","35"
"仲并","35"
"李百药","34"
"刘方平","34"
"上官仪","34"
"林宽","33"
"倪偁","33"
"僧贯休","33"
"元阳子","33"
"黎廷瑞","32"
"姚勉","32"
"刘仙伦","31"
"孟贯","31"
"清昼","31"
"文偃","31"
"赵文","31"
"智闲","31"
"葛郯","30"
"韩琮","30"
"黄公绍","30"
"刘埙","30"
"王义山","30"
"夏元鼎","30"
"严仁","30"
"郑愔","30"
"李翔","29"
"马子严","29"
"吴儆","29"
"张南史","29"
"郑巢","29"
"成彦雄","28"
"韩玉","28"
"刘宪","27"
"王奕","27"
"张伯端","27"
"赵必□","27"
"刘镇2","26"
"王之望","26"
"章谒","26"
"李流谦","25"
"杨师道","25"
"朱淑真","25"
"陈瓘","24"
"敦煌人作品[一]","24"
"冯取洽","24"
"萧廷之","24"
"道镜　善导","23"
"窦群","23"
"菩提达摩","23"
"契此","23"
"杨行真人","23"
"浙东众诗人","23"
"董思恭","22"
"景岑","22"
"李彭老","22"
"陆希声","22"
"孟云卿","22"
